adId,Price,Type,days_since,Parking,Lease_term,moving_date,pets_allowed_apt,size (sq.ft.),furnished_apt,AC,apt_size,Title_length,postal_code,longitude,latitude,District,desc_len
1568274107,1690,apartment,6,0.0, '1 an',july,0.0,500.0,1,0.0,na,54,H1V 2W4,-73.551,45.5702,Maisonneuve,1529
1563406590,2900,apartment,1,0.0, 'Au mois',na,0.0,,1,0.0,na,41,H2W 2H5,-73.5839,45.5194,Plateau Mont-Royal South Central,1645
1563406591,760,apartment,1,0.0, '1 an',na,0.0,,0,0.0,na,36,H1W 2M8,-73.5616,45.5423,Hochelaga,265
1569854883,825,apartment,1,0.0, '1 an',july,0.0,300.0,0,1.0,studio,64,H2G 2X3,-73.6061,45.5434,Petite-Patrie Northeast,2109
1569854598,1195,apartment,1,2.0, '1 an',june,0.0,800.0,0,0.0,studio,52,H2K 3Z3,-73.5672,45.53,Centre-Sud North,1315
1569854484,1095,apartment,1,0.0, '1 an',june,1.0,1.0,0,0.0,studio,60,H2W 2E7,-73.5839,45.5194,Plateau Mont-Royal South Central,666
1569854361,1495,apartment,1,0.0, '1 an',september,1.0,700.0,0,1.0,3 1/2,60,H2W 2E7,-73.5839,45.5194,Plateau Mont-Royal South Central,842
1569854344,720,apartment,1,0.0, '1 an',july,0.0,200.0,0,0.0,na,36,H2M1S7,-73.6515,45.55,Ahuntsic East,191
1569854120,1225,apartment,1,0.0, '1 an',july,1.0,1025.0,0,0.0,condo,64,H4G 1N5,-73.5798,45.4644,Verdun North,2895
1569854003,900,Room,1,1.0,,na,0.0,,0,0.0,studio,49,H3W 2H8,-73.6442,45.4988,Côte-des-Neiges Southwest,986
1559635015,1695,apartment,1,0.0, '1 an',july,0.0,1150.0,0,0.0,condo,51,H2S 3H3,-73.6144,45.5356,Petite-Patrie Southwest,1471
1557458937,700,apartment,1,0.0, '1 an',july,0.0,1150.0,0,0.0,3 1/2,28,H4G 1V1,-73.5798,45.4644,Verdun North,43
1540931401,1300,apartment,1,0.0, '1 an',august,0.0,,0,0.0,studio,63,H2R 2T2,-73.6266,45.5452,Villeray Southeast,1650
1505846054,1450,apartment,1,0.0, '1 an',august,0.0,,0,0.0,na,38,H2B 2W3,-73.647,45.5664,Ahuntsic North,765
1569853581,1450,apartment,1,0.0, '1 an',june,1.0,1.0,0,0.0,na,54,H2B 2W3,-73.647,45.5664,Ahuntsic North,628
1559787967,870,apartment,1,1.0, '1 an',july,0.0,923.0,0,1.0,na,37,H3M 3B3,-73.6979,45.5459,Cartierville Northeast,759
1535709014,1375,apartment,1,0.0, '1 an',july,1.0,800.0,0,0.0,3 1/2,52,H2V 2V3,-73.6153,45.5298,Outremont,839
1546907286,1695,apartment,1,0.0, '1 an',april,1.0,750.0,0,0.0,na,57,H2V 2V3,-73.6153,45.5298,Outremont,618
0,975,,1,,,na,0.0,,0,0.0,na,59,H3W 2H8,-73.6442,45.4988,Côte-des-Neiges Southwest,956
0,1850,,1,,,na,0.0,,0,0.0,condo,56,H4P 1B2,-73.6722,45.4991,Mount Royal South,809
0,1129,,1,,,na,0.0,,0,0.0,na,58,H3E 1B5,-73.5457,45.4679,L'Île-Des-Soeurs,4753
0,1299,,1,,,na,0.0,,0,0.0,na,48,H3E 1G1,-73.5457,45.4679,L'Île-Des-Soeurs,4850
1537921837,1749,apartment,1,0.0, '1 an',july,1.0,1050.0,0,0.0,na,59,H3E 1E5,-73.5457,45.4679,L'Île-Des-Soeurs,5465
1520363948,1199,apartment,1,0.0, '1 an',april,1.0,770.0,0,0.0,na,58,H3E 1B8,-73.5457,45.4679,L'Île-Des-Soeurs,4747
1568548528,1199,apartment,1,0.0, '1 an',july,1.0,630.0,0,0.0,na,52,H3E 1H2,-73.5457,45.4679,L'Île-Des-Soeurs,4928
