,Price,longitude,latitude,geometry
770,525.0,-73.6024,45.5278,POINT (-73.6024 45.5278)
771,865.0,-73.6515,45.55,POINT (-73.6515 45.55)
772,680.0,-73.5928,45.5289,POINT (-73.5928 45.5289)
773,760.0,-73.5928,45.5289,POINT (-73.5928 45.5289)
774,450.0,-73.5863,45.468,POINT (-73.58629999999999 45.468)
775,925.0,-73.5869,45.5653,POINT (-73.5869 45.5653)
776,850.0,-73.647,45.5664,POINT (-73.64700000000001 45.5664)
777,685.0,-73.6252,45.4781,POINT (-73.62520000000001 45.4781)
778,760.0,-73.5928,45.5289,POINT (-73.5928 45.5289)
779,1150.0,-73.5559,45.5902,POINT (-73.55589999999999 45.5902)
780,1500.0,-73.6229,45.5844,POINT (-73.6229 45.5844)
781,850.0,-73.5967,45.5123,POINT (-73.5967 45.5123)
782,1875.0,-73.6704,45.478,POINT (-73.6704 45.478)
783,1250.0,-73.5744,45.5252,POINT (-73.5744 45.5252)
784,850.0,-73.6118,45.5583,POINT (-73.6118 45.5583)
785,1200.0,,,POINT (nan nan)
786,1250.0,-73.5798,45.4644,POINT (-73.57980000000001 45.4644)
787,1300.0,-73.6256,45.5522,POINT (-73.62560000000001 45.5522)
788,2200.0,-73.5928,45.5289,POINT (-73.5928 45.5289)
789,1200.0,-73.6292,45.5155,POINT (-73.6292 45.5155)
790,2400.0,-73.5928,45.5289,POINT (-73.5928 45.5289)
791,1700.0,-73.5744,45.5252,POINT (-73.5744 45.5252)
792,1350.0,-73.6524,45.5829,POINT (-73.6524 45.5829)
793,1800.0,-73.5672,45.53,POINT (-73.5672 45.53)
794,1600.0,-73.5672,45.53,POINT (-73.5672 45.53)
795,1700.0,-73.5928,45.5289,POINT (-73.5928 45.5289)
796,1250.0,-73.5672,45.53,POINT (-73.5672 45.53)
797,650.0,-73.6061,45.5434,POINT (-73.6061 45.5434)
798,1100.0,-73.6557,45.4473,POINT (-73.6557 45.4473)
799,870.0,-73.6292,45.5155,POINT (-73.6292 45.5155)
800,1630.0,-73.5839,45.5194,POINT (-73.5839 45.5194)
801,1250.0,-73.5839,45.5194,POINT (-73.5839 45.5194)
802,1265.0,-73.5744,45.5252,POINT (-73.5744 45.5252)
803,700.0,-73.5672,45.53,POINT (-73.5672 45.53)
804,1250.0,-73.5798,45.4644,POINT (-73.57980000000001 45.4644)
805,1815.0,-73.5679,45.503,POINT (-73.56789999999999 45.503)
806,1605.0,-73.5679,45.503,POINT (-73.56789999999999 45.503)
807,2435.0,-73.5679,45.503,POINT (-73.56789999999999 45.503)
808,1605.0,-73.5679,45.503,POINT (-73.56789999999999 45.503)
809,700.0,-73.5672,45.53,POINT (-73.5672 45.53)
810,1350.0,-73.5837,45.5377,POINT (-73.58369999999999 45.5377)
811,1400.0,-73.5922,45.478,POINT (-73.59220000000001 45.478)
812,1850.0,-73.5672,45.53,POINT (-73.5672 45.53)
813,1250.0,-73.5616,45.5423,POINT (-73.5616 45.5423)
814,1645.0,-73.6292,45.5155,POINT (-73.6292 45.5155)
815,1800.0,-73.5672,45.53,POINT (-73.5672 45.53)
816,1650.0,-73.5922,45.478,POINT (-73.59220000000001 45.478)
817,950.0,-73.6061,45.5434,POINT (-73.6061 45.5434)
818,2083.0,-73.551,45.5702,POINT (-73.551 45.5702)
819,1400.0,,,POINT (nan nan)
820,1900.0,-73.6442,45.4988,POINT (-73.6442 45.4988)
821,1575.0,-73.5967,45.5123,POINT (-73.5967 45.5123)
822,1500.0,-73.6229,45.5844,POINT (-73.6229 45.5844)
823,775.0,-73.5935,45.5577,POINT (-73.59350000000001 45.5577)
824,950.0,-73.7231,45.5353,POINT (-73.7231 45.5353)
825,1400.0,,,POINT (nan nan)
826,900.0,-73.5985,45.5716,POINT (-73.5985 45.5716)
827,389.0,-73.7231,45.5353,POINT (-73.7231 45.5353)
828,2200.0,-73.7231,45.5353,POINT (-73.7231 45.5353)
829,1380.0,-73.5428,45.6077,POINT (-73.5428 45.6077)
830,975.0,-73.6483,45.4915,POINT (-73.64830000000001 45.4915)
831,1550.0,-73.5679,45.503,POINT (-73.56789999999999 45.503)
832,1500.0,-73.5928,45.5289,POINT (-73.5928 45.5289)
833,1200.0,-73.6515,45.55,POINT (-73.6515 45.55)
834,1300.0,-73.5837,45.5377,POINT (-73.58369999999999 45.5377)
835,1450.0,-73.6649,45.4575,POINT (-73.6649 45.4575)
836,1800.0,-73.5869,45.5653,POINT (-73.5869 45.5653)
837,975.0,-73.6483,45.4915,POINT (-73.64830000000001 45.4915)
838,945.0,-73.5499,45.5719,POINT (-73.54989999999999 45.5719)
839,820.0,-73.5502,45.6454,POINT (-73.5502 45.6454)
840,850.0,-73.5839,45.5194,POINT (-73.5839 45.5194)
841,1515.0,-73.5928,45.5289,POINT (-73.5928 45.5289)
842,995.0,-73.6464,45.5335,POINT (-73.6464 45.5335)
843,975.0,-73.6483,45.4915,POINT (-73.64830000000001 45.4915)
844,1526.0,-73.5967,45.5123,POINT (-73.5967 45.5123)
845,1076.0,-73.5967,45.5123,POINT (-73.5967 45.5123)
846,1238.0,-73.5967,45.5123,POINT (-73.5967 45.5123)
847,1000.0,-73.6252,45.4781,POINT (-73.62520000000001 45.4781)
848,850.0,-73.598,45.5525,POINT (-73.598 45.5525)
849,875.0,-73.5928,45.5289,POINT (-73.5928 45.5289)
850,999.0,-73.564,45.4858,POINT (-73.56399999999999 45.4858)
851,869.0,-73.6974,45.5269,POINT (-73.6974 45.5269)
852,699.0,-73.6974,45.5269,POINT (-73.6974 45.5269)
853,1260.0,-73.6974,45.5269,POINT (-73.6974 45.5269)
854,825.0,-73.6974,45.5269,POINT (-73.6974 45.5269)
855,1565.0,-73.7231,45.5353,POINT (-73.7231 45.5353)
856,2375.0,-73.5457,45.4679,POINT (-73.5457 45.4679)
857,2300.0,-73.6252,45.4781,POINT (-73.62520000000001 45.4781)
858,2980.0,-73.7309,45.5148,POINT (-73.73090000000001 45.5148)
859,895.0,-73.6144,45.5356,POINT (-73.6144 45.5356)
860,1145.0,-73.6061,45.5434,POINT (-73.6061 45.5434)
861,1000.0,-73.6524,45.5829,POINT (-73.6524 45.5829)
862,940.0,-73.636,45.4681,POINT (-73.636 45.4681)
863,915.0,-73.6807,45.5329,POINT (-73.6807 45.5329)
864,1395.0,-73.6807,45.5329,POINT (-73.6807 45.5329)
865,1915.0,-73.5679,45.503,POINT (-73.56789999999999 45.503)
866,916.0,-73.5739,45.5148,POINT (-73.57389999999999 45.5148)
867,750.0,-73.5839,45.5194,POINT (-73.5839 45.5194)
868,1300.0,-73.5679,45.503,POINT (-73.56789999999999 45.503)
869,1095.0,-73.6256,45.5522,POINT (-73.62560000000001 45.5522)
870,2083.0,-73.551,45.5702,POINT (-73.551 45.5702)
871,600.0,-73.6464,45.5335,POINT (-73.6464 45.5335)
872,950.0,-73.5839,45.5194,POINT (-73.5839 45.5194)
873,980.0,-73.6256,45.5522,POINT (-73.62560000000001 45.5522)
874,700.0,-73.6084,45.4551,POINT (-73.6084 45.4551)
875,500.0,-73.6524,45.5829,POINT (-73.6524 45.5829)
876,1600.0,-73.6229,45.5844,POINT (-73.6229 45.5844)
877,1080.0,-73.616,45.5115,POINT (-73.616 45.5115)
878,480.0,-73.5935,45.5577,POINT (-73.59350000000001 45.5577)
879,660.0,-73.5744,45.5252,POINT (-73.5744 45.5252)
